age,income,education_years,credit_score,employment_status,loan_approved
58,87242,17,685,employed,1
26,80566,19,685,employed,1
65,97888,16,650,self-employed,1
22,79988,19,650,employed,1
41,101139,21,645,unemployed,0
59,116793,22,649,unemployed,0
60,67963,10,706,employed,1
44,92809,19,691,employed,1
52,44859,10,647,self-employed,0
66,76287,11,728,employed,1
53,116059,22,781,employed,1
54,121036,21,696,employed,1
58,108401,22,684,employed,1
47,84864,18,736,employed,1
39,38877,10,669,employed,1
30,44031,14,627,employed,1
47,67626,15,639,employed,1
52,85584,14,688,employed,1
31,66890,18,661,self-employed,1
22,36291,11,587,unemployed,0
52,111916,19,758,self-employed,1
57,87535,16,725,employed,1
37,79216,18,663,employed,1
39,59231,15,728,employed,1
31,102728,22,728,employed,1
60,94910,18,753,employed,1
44,75271,17,681,employed,1
54,112777,21,670,self-employed,1
48,91335,16,742,employed,1
67,123265,21,706,employed,1
49,99395,21,672,employed,1
31,84693,22,660,self-employed,1
52,49035,10,696,employed,1
22,98271,22,622,unemployed,0
32,79077,18,671,employed,1
20,74190,20,707,employed,1
33,52548,15,665,employed,1
40,59713,10,608,unemployed,0
56,120527,19,699,employed,1
47,82026,15,661,employed,1
44,70808,15,668,unemployed,1
63,120080,20,725,employed,1
54,68134,14,716,employed,1
38,90949,18,742,employed,1
51,91121,18,646,self-employed,1
39,58084,10,629,unemployed,0
26,47217,12,624,self-employed,0
61,61788,12,729,employed,1
60,64900,12,701,employed,1
23,58876,15,630,employed,0
31,87187,19,676,unemployed,1
32,105030,21,745,employed,1
25,40252,10,681,employed,1
38,89209,17,711,employed,1
51,63750,12,725,employed,1
25,66860,18,648,employed,1
62,92403,15,667,unemployed,0
31,105311,21,701,employed,1
25,69200,17,708,employed,1
43,38062,11,613,self-employed,0
46,84596,16,724,employed,1
53,106218,19,687,employed,1
66,130097,19,763,employed,1
34,63808,15,648,employed,1
65,130994,21,702,employed,1
68,104658,17,674,unemployed,0
54,91537,16,676,self-employed,1
59,72204,14,718,self-employed,1
68,93980,12,670,employed,1
28,82289,22,703,employed,1
55,79169,15,746,employed,1
58,117685,20,712,unemployed,1
67,111078,19,746,employed,1
45,109273,20,710,employed,1
57,120471,21,697,employed,1
62,55593,10,717,employed,1
67,106352,17,744,employed,1
50,65623,12,620,self-employed,0
32,58448,15,702,self-employed,1
40,53207,12,689,employed,1
